,Rank,Song,Artist,Year
87,88,Soul Survivor,Young Jeezy Featuring Akon,2005
88,89,Pump It,The Black Eyed Peas,2005
89,90,When I'm Gone,Eminem,2005
90,91,Hung Up,Madonna,2005
91,92,Stay Fly,Three 6 Mafia Featuring Young Buck & Eightball & MJG,2005
92,93,Love,Keyshia Cole,2005
93,94,When You're Mad,Ne-Yo,2005
94,95,Why You Wanna,T.I.,2005
95,96,Stupid Girls,P!nk,2005
96,97,Feel Good Inc,Gorillaz,2005
97,98,I'm Sprung,T-Pain,2005
98,99,Do I Make You Proud,Taylor Hicks,2005
99,100,For You I Will (Confidence),Teddy Geiger,2005
100,1,Bad Day,Daniel Powter,2006
101,2,Temperature,Sean Paul,2006
102,3,Promiscuous,Nelly Furtado Featuring Timbaland,2006
103,4,You're Beautiful,James Blunt,2006
104,5,Hips Don't Lie,Shakira Featuring Wyclef Jean,2006
105,6,Unwritten,Natasha Bedingfield,2006
106,7,Crazy,Gnarls Barkley,2006
107,8,Ridin',Chamillionaire Featuring Krayzie Bone,2006
108,9,SexyBack,Justin Timberlake,2006
109,10,Check On It,Beyonce Featuring Slim Thug,2006
110,11,Be Without You,Mary J. Blige,2006
111,12,Grillz,"Nelly Featuring Paul Wall, Ali & Gipp",2006
112,13,Over My Head (Cable Car),The Fray,2006
113,14,Me & U,Cassie,2006
114,15,Buttons,The Pussycat Dolls Featuring Snoop Dogg,2006
115,16,Run It!,Chris Brown,2006
116,17,So Sick,Ne-Yo,2006
117,18,It's Goin' Down,Yung Joc,2006
118,19,SOS,Rihanna,2006
119,20,I Write Sins Not Tragedies,Panic! At The Disco,2006
120,21,Move Along,The All-American Rejects,2006
121,22,London Bridge,Fergie,2006
122,23,Dani California,Red Hot Chili Peppers,2006
123,24,Snap Yo Fingers,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,2006
124,25,"Lean Wit It, Rock Wit It",Dem Franchize Boyz Featuring Lil Peanut & Charlay,2006
125,26,What Hurts The Most,Rascal Flatts,2006
126,27,How To Save A Life,The Fray,2006
127,28,Unfaithful,Rihanna,2006
128,29,Chasing Cars,Snow Patrol,2006
129,30,Lips Of An Angel,Hinder,2006
130,31,Everytime We Touch,Cascada,2006
131,32,Ain't No Other Man,Christina Aguilera,2006
132,33,"Dance, Dance",Fall Out Boy,2006
133,34,Gold Digger,Kanye West Featuring Jamie Foxx,2006
134,35,Money Maker,Ludacris Featuring Pharrell,2006
135,36,Ms. New Booty,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,2006
136,37,(When You Gonna) Give It Up To Me,Sean Paul Featuring Keyshia Cole,2006
137,38,Photograph,Nickelback,2006
138,39,Because Of You,Kelly Clarkson,2006
139,40,Stickwitu,The Pussycat Dolls,2006
140,41,I'm N Luv (Wit A Stripper),T-Pain Featuring Mike Jones,2006
141,42,My Humps,The Black Eyed Peas,2006
142,43,Where'd You Go,Fort Minor Featuring Holly Brook,2006
143,44,Yo (Excuse Me Miss),Chris Brown,2006
144,45,Walk Away,Kelly Clarkson,2006
145,46,Laffy Taffy,D4L,2006
146,47,What You Know,T.I.,2006
147,48,Dirty Little Secret,The All-American Rejects,2006
148,49,Savin' Me,Nickelback,2006
149,50,Don't Forget About Us,Mariah Carey,2006
150,51,Sexy Love,Ne-Yo,2006
151,52,U And Dat,E-40 Featuring T-Pain & Kandi Girl,2006
152,53,Far Away,Nickelback,2006
153,54,What's Left Of Me,Nick Lachey,2006
154,55,So What,Field Mob Featuring Ciara,2006
155,56,Do It To It,Cherish Featuring Sean Paul Of The YoungBloodZ,2006
156,57,Black Horse & The Cherry Tree,KT Tunstall,2006
157,58,There It Go! (The Whistle Song),Juelz Santana,2006
158,59,Shoulder Lean,Young Dro Featuring T.I.,2006
159,60,Unpredictable,Jamie Foxx Featuring Ludacris,2006
160,61,My Love,Justin Timberlake Featuring T.I.,2006
161,62,Shake That,Eminem Featuring Nate Dogg,2006
162,63,Pullin' Me Back,Chingy Featuring Tyrese,2006
163,64,Bossy,Kelis Featuring Too $hort,2006
164,65,Chain Hang Low,Jibbs,2006
165,66,Smack That,Akon Featuring Eminem,2006
166,67,One Wish,Ray J,2006
167,68,"Sugar, We're Goin' Down",Fall Out Boy,2006
168,69,Gimme That,Chris Brown Featuring Lil Wayne,2006
169,70,I Know You See It,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,2006
170,71,Who Says You Can't Go Home,Bon Jovi,2006
171,72,Too Little Too Late,JoJo,2006
172,73,Touch It,Busta Rhymes,2006
173,74,Rompe,Daddy Yankee,2006
174,75,Deja Vu,Beyonce Featuring Jay Z,2006
175,76,Life Is A Highway,Rascal Flatts,2006
176,77,Call Me When You're Sober,Evanescence,2006
177,78,"Jesus, Take The Wheel",Carrie Underwood,2006
178,79,Show Stopper,Danity Kane,2006
179,80,Get Up,Ciara Featuring Chamillionaire,2006
180,81,We Be Burnin',Sean Paul,2006
181,82,Hate Me,Blue October,2006
182,83,You And Me,Lifehouse,2006
183,84,Beep,The Pussycat Dolls Featuring will.i.am,2006
184,85,I Think They Like Me,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",2006
185,86,Say Goodbye,Chris Brown,2006
186,87,Waiting On The World To Change,John Mayer,2006
187,88,Soul Survivor,Young Jeezy Featuring Akon,2006
188,89,Pump It,The Black Eyed Peas,2006
189,90,When I'm Gone,Eminem,2006
190,91,Hung Up,Madonna,2006
191,92,Stay Fly,Three 6 Mafia Featuring Young Buck & Eightball & MJG,2006
192,93,Love,Keyshia Cole,2006
193,94,When You're Mad,Ne-Yo,2006
194,95,Why You Wanna,T.I.,2006
195,96,Stupid Girls,P!nk,2006
196,97,Feel Good Inc,Gorillaz,2006
197,98,I'm Sprung,T-Pain,2006
198,99,Do I Make You Proud,Taylor Hicks,2006
199,100,For You I Will (Confidence),Teddy Geiger,2006
200,1,Irreplaceable,Beyonce,2007
201,2,Umbrella,Rihanna Featuring Jay-Z,2007
202,3,The Sweet Escape,Gwen Stefani Featuring Akon,2007
203,4,Big Girls Don't Cry,Fergie,2007
204,5,Buy U A Drank (Shawty Snappin'),T-Pain Featuring Yung Joc,2007
205,6,Before He Cheats,Carrie Underwood,2007
206,7,Hey There Delilah,Plain White T's,2007
207,8,I Wanna Love You,Akon Featuring Snoop Dogg,2007
208,9,Say It Right,Nelly Furtado,2007
209,10,Glamorous,Fergie Featuring Ludacris,2007
210,11,Don't Matter,Akon,2007
211,12,Girlfriend,Avril Lavigne,2007
212,13,Makes Me Wonder,Maroon 5,2007
213,14,Party Like A Rockstar,Shop Boyz,2007
214,15,Smack That,Akon Featuring Eminem,2007
215,16,This Is Why I'm Hot,Mims,2007
216,17,It's Not Over,Daughtry,2007
217,18,The Way I Are,Timbaland Featuring Keri Hilson,2007
218,19,Fergalicious,Fergie,2007
219,20,Crank That (Soulja Boy),Soulja Boy Tell'em,2007
220,21,Give It To Me,Timbaland Featuring Nelly Furtado & Justin Timberlake,2007
221,22,What Goes Around...Comes Around,Justin Timberlake,2007
222,23,Cupid's Chokehold/Breakfast In America,Gym Class Heroes Featuring Patrick Stump,2007
223,24,How To Save A Life,The Fray,2007
224,25,Home,Daughtry,2007
225,26,My Love,Justin Timberlake Featuring T.I.,2007
226,27,Stronger,Kanye West,2007
227,28,We Fly High,Jim Jones,2007
228,29,U + Ur Hand,P!nk,2007
229,30,Walk It Out,Unk,2007
230,31,Beautiful Girls,Sean Kingston,2007
231,32,"This Ain't A Scene, It's An Arms Race",Fall Out Boy,2007
232,33,Bartender,T-Pain Featuring Akon,2007
233,34,"Pop, Lock & Drop It",Huey,2007
234,35,Runaway Love,Ludacris Featuring Mary J. Blige,2007
235,36,Rockstar,Nickelback,2007
236,37,Thnks Fr Th Mmrs,Fall Out Boy,2007
237,38,What I've Done,Linkin Park,2007
238,39,Summer Love,Justin Timberlake,2007
239,40,You,Lloyd Featuring Lil Wayne,2007
240,41,Wait For You,Elliott Yamin,2007
241,42,Last Night,Diddy Featuring Keyshia Cole,2007
242,43,Make It Rain,Fat Joe Featuring Lil Wayne,2007
243,44,Make Me Better,Fabolous Featuring Ne-Yo,2007
244,45,Ice Box,Omarion,2007
245,46,Lips Of An Angel,Hinder,2007
246,47,Waiting On The World To Change,John Mayer,2007
247,48,Lost Without U,Robin Thicke,2007
248,49,I'm A Flirt,R. Kelly Or Bow Wow (Featuring T.I. & T-Pain),2007
249,50,If Everyone Cared,Nickelback,2007
250,51,Get It Shawty,Lloyd,2007
251,52,Face Down,The Red Jumpsuit Apparatus,2007
252,53,The Way I Live,Baby Boy Da Prince Featuring Lil Boosie,2007
253,54,Shortie Like Mine,Bow Wow Featuring Chris Brown & Johnta Austin,2007
254,55,It Ends Tonight,The All-American Rejects,2007
255,56,A Bay Bay,Hurricane Chris,2007
256,57,Because Of You,Ne-Yo,2007
257,58,I Tried,Bone Thugs-N-Harmony Featuring Akon,2007
258,59,Welcome To The Black Parade,My Chemical Romance,2007
259,60,Shawty,Plies Featuring T-Pain,2007
260,61,Chasing Cars,Snow Patrol,2007
261,62,Beautiful Liar,Beyonce & Shakira,2007
262,63,SexyBack,Justin Timberlake,2007
263,64,Keep Holding On,Avril Lavigne,2007
264,65,Let It Go,Keyshia Cole Featuring Missy Elliott & Lil Kim,2007
265,66,Apologize,Timbaland Featuring OneRepublic,2007
266,67,Bubbly,Colbie Caillat,2007
267,68,Like A Boy,Ciara,2007
268,69,Who Knew,P!nk,2007
269,70,Never Again,Kelly Clarkson,2007
270,71,Promise,Ciara,2007
271,72,Bed,J. Holiday,2007
272,73,Throw Some D's,Rich Boy Featuring Polow Da Don,2007
273,74,Rehab,Amy Winehouse,2007
274,75,Big Things Poppin' (Do It),T.I.,2007
275,76,No One,Alicia Keys,2007
276,77,The Great Escape,Boys Like Girls,2007
277,78,2 Step,Unk,2007
278,79,Walk Away (Remember Me),Paula DeAnda Featuring The DEY,2007
279,80,Go Getta,Young Jeezy Featuring R. Kelly,2007
280,81,Here (In Your Arms),Hellogoodbye,2007
281,82,On The Hotline,Pretty Ricky,2007
282,83,Wind It Up,Gwen Stefani,2007
283,84,Cyclone,Baby Bash Featuring T-Pain,2007
284,85,Break It Off,Rihanna & Sean Paul,2007
285,86,First Time,Lifehouse,2007
286,87,Ayo Technology,50 Cent Featuring Justin Timberlake & Timbaland,2007
287,88,Outta My System,Bow Wow Featuring T-Pain & Johnta Austin,2007
288,89,Teardrops On My Guitar,Taylor Swift,2007
289,90,Shut Up And Drive,Rihanna,2007
290,91,Snow ((Hey Oh)),Red Hot Chili Peppers,2007
291,92,Money Maker,Ludacris Featuring Pharrell,2007
292,93,Kiss Kiss,Chris Brown Featuring T-Pain,2007
293,94,Far Away,Nickelback,2007
294,95,Rock Yo Hips,Crime Mob Featuring Lil Scrappy,2007
295,96,LoveStoned,Justin Timberlake,2007
296,97,Better Than Me,Hinder,2007
297,98,Paralyzer,Finger Eleven,2007
298,99,That's That,Snoop Dogg Featuring R. Kelly,2007
299,100,Same Girl,R. Kelly Duet With Usher,2007
300,1,Low,Flo Rida Featuring T-Pain,2008
301,2,Bleeding Love,Leona Lewis,2008
302,3,No One,Alicia Keys,2008
303,4,Lollipop,Lil Wayne Featuring Static Major,2008
304,5,Apologize,Timbaland Featuring OneRepublic,2008
305,6,No Air,Jordin Sparks Duet With Chris Brown,2008
306,7,Love Song,Sara Bareilles,2008
307,8,Love In This Club,Usher Featuring Young Jeezy,2008
308,9,With You,Chris Brown,2008
309,10,Forever,Chris Brown,2008
310,11,Sexy Can I,Ray J & Yung Berg,2008
311,12,Take A Bow,Rihanna,2008
312,13,Viva La Vida,Coldplay,2008
313,14,I Kissed A Girl,Katy Perry,2008
314,15,Whatever You Like,T.I.,2008
315,16,Disturbia,Rihanna,2008
316,17,Don't Stop The Music,Rihanna,2008
317,18,Pocketful Of Sunshine,Natasha Bedingfield,2008
318,19,Kiss Kiss,Chris Brown Featuring T-Pain,2008
319,20,Closer,Ne-Yo,2008
320,21,Bubbly,Colbie Caillat,2008
321,22,Touch My Body,Mariah Carey,2008
322,23,4 Minutes,Madonna Featuring Justin Timberlake & Timbaland,2008
323,24,So What,P!nk,2008
324,25,Paralyzer,Finger Eleven,2008
325,26,Clumsy,Fergie,2008
326,27,I'm Yours,Jason Mraz,2008
327,28,Leavin',Jesse McCartney,2008
328,29,Dangerous,Kardinal Offishall Featuring Akon,2008
329,30,Tattoo,Jordin Sparks,2008
330,31,See You Again,Miley Cyrus,2008
331,32,Shake It,Metro Station,2008
332,33,Stop And Stare,OneRepublic,2008
333,34,Take You There,Sean Kingston,2008
334,35,Paper Planes,M.I.A.,2008
335,36,Hot N Cold,Katy Perry,2008
336,37,Live Your Life,T.I. Featuring Rihanna,2008
337,38,Bust It Baby Part 2,Plies Featuring Ne-Yo,2008
338,39,American Boy,Estelle Featuring Kanye West,2008
339,40,Got Money,Lil Wayne Featuring T-Pain,2008
340,41,Our Song,Taylor Swift,2008
341,42,Damaged,Danity Kane,2008
342,43,A Milli,Lil Wayne,2008
343,44,Sorry,Buckcherry,2008
344,45,Independent,Webbie Featuring Lil' Phat & Lil' Boosie,2008
345,46,Can't Believe It,T-Pain Featuring Lil Wayne,2008
346,47,Like You'll Never See Me Again,Alicia Keys,2008
347,48,Teardrops On My Guitar,Taylor Swift,2008
348,49,When I Grow Up,The Pussycat Dolls,2008
349,50,Sensual Seduction,Snoop Dogg,2008
350,51,What You Got,Colby O'Donis Featuring Akon,2008
351,52,It's Not My Time,3 Doors Down,2008
352,53,Better In Time,Leona Lewis,2008
353,54,Crank That (Soulja Boy),Soulja Boy Tell'em,2008
354,55,Shadow Of The Day,Linkin Park,2008
355,56,Sweetest Girl (Dollar Bill),"Wyclef Jean Featuring Akon, Lil Wayne & Niia",2008
356,57,Miss Independent,Ne-Yo,2008
357,58,Fall For You,Secondhand Serenade,2008
358,59,In The Ayer,Flo Rida Featuring will.i.am,2008
359,60,Say,John Mayer,2008
360,61,One Step At A Time,Jordin Sparks,2008
361,62,Hate That I Love You,Rihanna Featuring Ne-Yo,2008
362,63,Superstar,Lupe Fiasco Featuring Matthew Santos,2008
363,64,Suffocate,J. Holiday,2008
364,65,Let It Rock,Kevin Rudolf Featuring Lil Wayne,2008
365,66,Get Like Me,David Banner Featuring Chris Brown,2008
366,67,Realize,Colbie Caillat,2008
367,68,Put On,Young Jeezy Featuring Kanye West,2008
368,69,The Time Of My Life,David Cook,2008
369,70,Lolli Lolli (Pop That Body),"Three 6 Mafia Featuring Project Pat, Young D & Superpower",2008
370,71,Cyclone,Baby Bash Featuring T-Pain,2008
371,72,Love Like This,Natasha Bedingfield Featuring Sean Kingston,2008
372,73,Burnin' Up,Jonas Brothers,2008
373,74,Love Lockdown,Kanye West,2008
374,75,I Luv Your Girl,The-Dream,2008
375,76,Crush,David Archuleta,2008
376,77,Hypnotized,Plies Featuring Akon,2008
377,78,Big Girls Don't Cry,Fergie,2008
378,79,Good Life,Kanye West Featuring T-Pain,2008
379,80,Womanizer,Britney Spears,2008
380,81,Love Story,Taylor Swift,2008
381,82,Just Fine,Mary J. Blige,2008
382,83,Piece Of Me,Britney Spears,2008
383,84,The Boss,Rick Ross Featuring T-Pain,2008
384,85,All Summer Long,Kid Rock,2008
385,86,Can't Help But Wait,Trey Songz,2008
386,87,In Love With A Girl,Gavin DeGraw,2008
387,88,My Life,The Game Featuring Lil Wayne,2008
388,89,I Remember,Keyshia Cole,2008
389,90,Flashing Lights,Kanye West Featuring Dwele,2008
390,91,Mrs. Officer,Lil Wayne Featuring Bobby Valentino & Kidd Kidd,2008
391,92,7 Things,Miley Cyrus,2008
392,93,You're Gonna Miss This,Trace Adkins,2008
393,94,Love Remains The Same,Gavin Rossdale,2008
394,95,Feels Like Tonight,Daughtry,2008
395,96,The Way I Are,Timbaland Featuring Keri Hilson,2008
396,97,Addicted,Saving Abel,2008
397,98,Into The Night,Santana Featuring Chad Kroeger,2008
398,99,Heaven Sent,Keyshia Cole,2008
399,100,She Got It,2 Pistols Featuring T-Pain & Tay Dizm,2008
400,1,Boom Boom Pow,The Black Eyed Peas,2009
401,2,Poker Face,Lady Gaga,2009
402,3,Just Dance,Lady Gaga Featuring Colby O'Donis,2009
403,4,I Gotta Feeling,The Black Eyed Peas,2009
404,5,Love Story,Taylor Swift,2009
405,6,Right Round,Flo Rida,2009
406,7,I'm Yours,Jason Mraz,2009
407,8,Single Ladies (Put A Ring On It),Beyonce,2009
408,9,Heartless,Kanye West,2009
409,10,Gives You Hell,The All-American Rejects,2009
410,11,You Belong With Me,Taylor Swift,2009
411,12,Dead And Gone,T.I. Featuring Justin Timberlake,2009
412,13,You Found Me,The Fray,2009
413,14,Use Somebody,Kings Of Leon,2009
414,15,Knock You Down,Keri Hilson Featuring Kanye West & Ne-Yo,2009
415,16,Blame It,Jamie Foxx Featuring T-Pain,2009
416,17,I Know You Want Me (Calle Ocho),Pitbull,2009
417,18,Live Your Life,T.I. Featuring Rihanna,2009
418,19,Kiss Me Thru The Phone,Soulja Boy Tell 'em Featuring Sammie,2009
419,20,Down,Jay Sean Featuring Lil Wayne,2009
420,21,The Climb,Miley Cyrus,2009
421,22,Best I Ever Had,Drake,2009
422,23,My Life Would Suck Without You,Kelly Clarkson,2009
423,24,Halo,Beyonce,2009
424,25,Hot N Cold,Katy Perry,2009
425,26,Second Chance,Shinedown,2009
426,27,Circus,Britney Spears,2009
427,28,Day 'N' Nite,Kid Cudi,2009
428,29,Party In The U.S.A.,Miley Cyrus,2009
429,30,Don't Trust Me,3OH!3,2009
430,31,Run This Town,"Jay-Z, Rihanna & Kanye West",2009
431,32,Let It Rock,Kevin Rudolf Featuring Lil Wayne,2009
432,33,Fire Burning,Sean Kingston,2009
433,34,Whatcha Say,Jason Derulo,2009
434,35,LoveGame,Lady Gaga,2009
435,36,Waking Up In Vegas,Katy Perry,2009
436,37,Birthday Sex,Jeremih,2009
437,38,Sober,P!nk,2009
438,39,Womanizer,Britney Spears,2009
439,40,Whatever You Like,T.I.,2009
440,41,Obsessed,Mariah Carey,2009
441,42,Mad,Ne-Yo,2009
442,43,Good Girls Go Bad,Cobra Starship Featuring Leighton Meester,2009
443,44,Love Lockdown,Kanye West,2009
444,45,So What,P!nk,2009
445,46,Hotel Room Service,Pitbull,2009
446,47,Crack A Bottle,"Eminem, Dr. Dre & 50 Cent",2009
447,48,If I Were A Boy,Beyonce,2009
448,49,Turnin Me On,Keri Hilson Featuring Lil Wayne,2009
449,50,I Hate This Part,The Pussycat Dolls,2009
450,51,Gotta Be Somebody,Nickelback,2009
451,52,Please Don't Leave Me,P!nk,2009
452,53,Paparazzi,Lady Gaga,2009
453,54,Beautiful,Akon Featuring Colby O'Donis & Kardinal Offishall,2009
454,55,Viva La Vida,Coldplay,2009
455,56,Right Now (Na Na Na),Akon,2009
456,57,Battlefield,Jordin Sparks,2009
457,58,Sugar,Flo Rida Featuring Wynter,2009
458,59,Miss Independent,Ne-Yo,2009
459,60,Fireflies,Owl City,2009
460,61,New Divide,Linkin Park,2009
461,62,Empire State Of Mind,Jay-Z + Alicia Keys,2009
462,63,No Surprise,Daughtry,2009
463,64,She Wolf,Shakira,2009
464,65,Break Up,Mario Featuring Gucci Mane & Sean Garrett,2009
465,66,Sweet Dreams,Beyonce,2009
466,67,Every Girl,Young Money,2009
467,68,Fallin' For You,Colbie Caillat,2009
468,69,Untouched,The Veronicas,2009
469,70,If Today Was Your Last Day,Nickelback,2009
470,71,Throw It In The Bag,Fabolous Featuring The-Dream,2009
471,72,Love Drunk,Boys Like Girls,2009
472,73,I Love College,Asher Roth,2009
473,74,If U Seek Amy,Britney Spears,2009
474,75,Big Green Tractor,Jason Aldean,2009
475,76,White Horse,Taylor Swift,2009
476,77,Disturbia,Rihanna,2009
477,78,21 Guns,Green Day,2009
478,79,Turn My Swag On,Soulja Boy Tell'em,2009
479,80,Rockin' That Thang,The-Dream,2009
480,81,Chicken Fried,Zac Brown Band,2009
481,82,Diva,Beyonce,2009
482,83,Replay,Iyaz,2009
483,84,Then,Brad Paisley,2009
484,85,Her Diamonds,Rob Thomas,2009
485,86,How Do You Sleep?,Jesse McCartney Featuring Ludacris,2009
486,87,3,Britney Spears,2009
487,88,Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem",2009
488,89,One Time,Justin Bieber,2009
489,90,I Run To You,Lady Antebellum,2009
490,91,I Do Not Hook Up,Kelly Clarkson,2009
491,92,Green Light,John Legend Featuring Andre 3000,2009
492,93,People Are Crazy,Billy Currington,2009
493,94,Whatever It Is,Zac Brown Band,2009
494,95,Already Gone,Kelly Clarkson,2009
495,96,Goodbye,Kristinia DeBarge,2009
496,97,Say Hey (I Love You),Michael Franti & Spearhead Featuring Cherine Anderson,2009
497,98,Pop Champagne,Jim Jones & Ron Browz Featuring Juelz Santana,2009
498,99,Pretty Wings,Maxwell,2009
499,100,Never Say Never,The Fray,2009
500,1,TiK ToK,Ke$ha,2010
501,2,Need You Now,Lady Antebellum,2010
502,3,"Hey, Soul Sister",Train,2010
503,4,California Gurls,Katy Perry Featuring Snoop Dogg,2010
504,5,OMG,Usher Featuring will.i.am,2010
505,6,Airplanes,B.o.B Featuring Hayley Williams,2010
506,7,Love The Way You Lie,Eminem Featuring Rihanna,2010
507,8,Bad Romance,Lady Gaga,2010
508,9,Dynamite,Taio Cruz,2010
509,10,Break Your Heart,Taio Cruz Featuring Ludacris,2010
510,11,Nothin' On You,B.o.B Featuring Bruno Mars,2010
511,12,I Like It,Enrique Iglesias Featuring Pitbull,2010
512,13,BedRock,Young Money Featuring Lloyd,2010
513,14,In My Head,Jason Derulo,2010
514,15,Rude Boy,Rihanna,2010
515,16,Telephone,Lady Gaga Featuring Beyonce,2010
516,17,Teenage Dream,Katy Perry,2010
517,18,Just The Way You Are,Bruno Mars,2010
518,19,Cooler Than Me,Mike Posner,2010
519,20,Imma Be,The Black Eyed Peas,2010
520,21,Empire State Of Mind,Jay-Z + Alicia Keys,2010
521,22,DJ Got Us Fallin' In Love,Usher Featuring Pitbull,2010
522,23,Billionaire,Travie McCoy Featuring Bruno Mars,2010
523,24,Not Afraid,Eminem,2010
524,25,Replay,Iyaz,2010
525,26,Sexy Chick,David Guetta Featuring Akon,2010
526,27,Breakeven,The Script,2010
527,28,Your Love Is My Drug,Ke$ha,2010
528,29,I Gotta Feeling,The Black Eyed Peas,2010
529,30,Fireflies,Owl City,2010
530,31,Say Aah,Trey Songz Featuring Fabolous,2010
531,32,Find Your Love,Drake,2010
532,33,Alejandro,Lady Gaga,2010
533,34,Ridin' Solo,Jason Derulo,2010
534,35,Just A Dream,Nelly,2010
535,36,How Low,Ludacris,2010
536,37,Like A G6,Far*East Movement Featuring Cataracs & Dev,2010
537,38,Carry Out,Timbaland Featuring Justin Timberlake,2010
538,39,Haven't Met You Yet,Michael Buble,2010
539,40,Club Can't Handle Me,Flo Rida Featuring David Guetta,2010
540,41,Down,Jay Sean Featuring Lil Wayne,2010
541,42,Bulletproof,La Roux,2010
542,43,Whatcha Say,Jason Derulo,2010
