,Rank,Song,Artist,Year,Genre
6329,7,No Me Doy Por Vencido,Luis Fonsi,2008,hot-latin
6330,8,Gotas De Agua Dulce,Juanes,2008,hot-latin
6331,9,Sobre Mis Pies,La Arrolladora Banda el Limon de Rene Camacho,2008,hot-latin
6332,10,Estos Celos,Vicente Fernandez,2008,hot-latin
6333,11,Te Llore,Conjunto Primavera,2008,hot-latin
6334,12,Lloro Por Ti,Enrique Iglesias,2008,hot-latin
6335,13,Conteo Regresivo,Gilberto Santa Rosa,2008,hot-latin
6336,14,Un Buen Perdedor,K-Paz With Franco De Vita,2008,hot-latin
6337,15,La Cumbia Del Rio,Los Pikadientes de Caborca,2008,hot-latin
6338,16,Amantes Escondidos,German Montero,2008,hot-latin
6339,17,Sexy Movimiento,Wisin & Yandel,2008,hot-latin
6340,18,Dame Tu Amor,Alacranes Musical,2008,hot-latin
6341,19,Ahora Es,Wisin & Yandel,2008,hot-latin
6342,20,No Puedo Olvidarla,Marco Antonio Solis,2008,hot-latin
6343,22,Pose,Daddy Yankee,2008,hot-latin
6344,23,Si Tu Te Vas,Los Temerarios,2008,hot-latin
6345,24,A Punto De Llorar,Los Rieleros del Norte,2008,hot-latin
6346,25,La Derrota,Vicente Fernandez,2008,hot-latin
6347,26,El Vaso Derrama,El Potro de Sinaloa,2008,hot-latin
6348,27,Tu Adios No Mata,Intocable,2008,hot-latin
6349,28,Cada Que...,Belanova,2008,hot-latin
6350,29,Si Te Agarran Las Ganas (Cierra Los Ojos),El Chapo de Sinaloa,2008,hot-latin
6351,30,Mi Corazoncito,Aventura,2008,hot-latin
6352,31,Vive Y Dejame Vivir,Cuisillos,2008,hot-latin
6353,32,Inalcanzable,RBD,2008,hot-latin
6354,33,Y Que Quede Claro,La Arrolladora Banda el Limon de Rene Camacho,2008,hot-latin
6355,34,El Perdedor,Aventura,2008,hot-latin
6356,35,Cinco Minutos,Gloria Trevi,2008,hot-latin
6357,36,Siguelo,Wisin & Yandel,2008,hot-latin
6358,37,Alguien Soy yo,Enrique Iglesias,2008,hot-latin
6359,38,He Venido,MJ,2008,hot-latin
6360,39,Na De Na,Angel & Khriz,2008,hot-latin
6361,40,Perdoname,La Factoria,2008,hot-latin
6362,41,Amor Inmortal,Chayanne,2008,hot-latin
6363,42,Sin Tu Amor,Alacranes Musical,2008,hot-latin
6364,43,Ya No Llores (Let Me Love You),Baby Boy,2008,hot-latin
6365,44,Por Quien Me Dejas,Los Creadorez del Pasito Duranguense de Alfredo Ramirez,2008,hot-latin
6366,45,El Amor En Carro,Julio Chaidez,2008,hot-latin
6367,46,Soy Igual Que Tu,Alexis & Fido,2008,hot-latin
6368,47,Si Tu Te Atreves,Luis Miguel,2008,hot-latin
6369,48,Te Quiero Mucho,Patrulla 81,2008,hot-latin
6370,49,Pegadito,Tommy Torres,2008,hot-latin
6371,50,Permitame,Tony Dize,2008,hot-latin
6372,1,Te Presumo,Banda El Recodo de Cruz Lizarraga,2009,hot-latin
6373,3,Por Un Segundo,Aventura,2009,hot-latin
6374,4,Ya Es Muy Tarde,La Arrolladora Banda el Limon de Rene Camacho,2009,hot-latin
6375,5,No Me Doy Por Vencido,Luis Fonsi,2009,hot-latin
6376,6,Lo Intentamos,Espinoza Paz,2009,hot-latin
6377,7,Aqui Estoy Yo,Luis Fonsi,2009,hot-latin
6378,8,Espero,Grupo Montez de Durango,2009,hot-latin
6379,9,Loba,Shakira,2009,hot-latin
6380,10,Lloro Por Ti,Enrique Iglesias,2009,hot-latin
6381,11,Causa Y Efecto,Paulina Rubio,2009,hot-latin
6382,12,El Ultimo Beso,Vicente Fernandez,2009,hot-latin
6383,13,Tu No Eres Para Mi,Fanny Lu,2009,hot-latin
6384,14,Me Estas Tentando,Wisin & Yandel Featuring Nesty,2009,hot-latin
6385,15,Manos Al Aire,Nelly Furtado,2009,hot-latin
6386,16,Te Regalo Amores,RKM & Ken-Y,2009,hot-latin
6387,17,Que Te Queria,La Quinta Estacion,2009,hot-latin
6388,18,Cinco Minutos,Gloria Trevi,2009,hot-latin
6389,19,Te Ira Mejor Sin Mi,Joan Sebastian,2009,hot-latin
6390,20,I Know You Want Me (Calle Ocho),Pitbull,2009,hot-latin
6391,22,Quiereme Mas,Patrulla 81,2009,hot-latin
6392,23,Comprendeme,German Montero,2009,hot-latin
6393,24,El Katch,El Compa Chuy,2009,hot-latin
6394,25,Abusadora,Wisin & Yandel,2009,hot-latin
6395,26,Fue Su Amor,Alacranes Musical,2009,hot-latin
6396,27,Te Amo,Makano,2009,hot-latin
6397,28,Como Un Tatuaje,K-Paz De La Sierra,2009,hot-latin
6398,29,Almas Gemelas,El Trono de Mexico,2009,hot-latin
6399,30,Maldito Licor,El Chapo de Sinaloa,2009,hot-latin
6400,31,Yo No Se Manana,Luis Enrique,2009,hot-latin
6401,32,Inolvidable,Reik,2009,hot-latin
6402,33,No Me Dejes De Amar,La Apuesta,2009,hot-latin
6403,34,All Up 2 You,Aventura Featuring Akon & Wisin & Yandel,2009,hot-latin
6404,35,El Otro,Palomo,2009,hot-latin
6405,36,Dame Tu Amor,Alacranes Musical,2009,hot-latin
6406,37,Dime Si Te Vas Con El,Flex,2009,hot-latin
6407,38,Y Que Quede Claro,La Arrolladora Banda el Limon de Rene Camacho,2009,hot-latin
6408,39,Recuerdame,La Quinta Estacion,2009,hot-latin
6409,40,Como Duele,Ricardo Arjona,2009,hot-latin
6410,41,Su Veneno,Aventura,2009,hot-latin
6411,42,El Mechon,Banda MS,2009,hot-latin
6412,43,Sin Ti...Sin Mi,Ricardo Arjona,2009,hot-latin
6413,44,Quien Es Usted?,Sergio Vega,2009,hot-latin
6414,45,El Culpable Soy Yo,Cristian Castro,2009,hot-latin
6415,46,No Molestar,Marco Antonio Solis,2009,hot-latin
6416,47,Virtual Diva,Don Omar,2009,hot-latin
6417,48,Mi Cama Huele A Ti,"Tito ""El Bambino"" El Parton Featuring Zion & Lennox",2009,hot-latin
6418,49,Esclavo De Sus Besos,David Bisbal,2009,hot-latin
6419,50,Que Tengo Que Hacer,Daddy Yankee,2009,hot-latin
6420,51,Se Fue Mi Amor,Los Tucanes de Tijuana,2009,hot-latin
6421,52,Te Ves Fatal,El Trono de Mexico,2009,hot-latin
6422,53,Caminare,Intocable,2009,hot-latin
6423,54,I Gotta Feeling,The Black Eyed Peas,2009,hot-latin
6424,55,El Proximo Viernes,Espinoza Paz,2009,hot-latin
6425,56,Dejame Vacio,El Potro de Sinaloa,2009,hot-latin
6426,57,Ojala,Pesado,2009,hot-latin
6427,58,Ojos Que No Ven,Alexis & Fido,2009,hot-latin
6428,59,Looking For Paradise,Alejandro Sanz Featuring Alicia Keys,2009,hot-latin
6429,60,Fuego En Tu Piel,Los Primos de Durango,2009,hot-latin
6430,61,Fui,Reik,2009,hot-latin
6431,62,Adios,Jesse & Joy,2009,hot-latin
6432,63,Te Amo,Alexander Acha,2009,hot-latin
6433,64,Sexy Robotica,Don Omar,2009,hot-latin
6434,65,Se Nos Murio El Amor,El Guero y Su Banda Centenario,2009,hot-latin
6435,66,La Granja,Los Tigres del Norte,2009,hot-latin
6436,67,Poker Face,Lady Gaga,2009,hot-latin
6437,68,Loco Por Ti,Los Temerarios,2009,hot-latin
6438,69,Cuando Tus Ojos Me Miran,Franco de Vita,2009,hot-latin
6439,70,Asi Fue,Playa Limbo,2009,hot-latin
6440,71,Me Gusta Me Gusta,Los Buitres de Culiacan Sinaloa,2009,hot-latin
6441,72,En Un Solo Dia,Negros,2009,hot-latin
6442,73,Odio Por Amor,Juanes,2009,hot-latin
6443,75,Tocando Fondo,Ricardo Arjona,2009,hot-latin
6444,76,En Cambio No,Laura Pausini,2009,hot-latin
6445,77,Imparable,Tommy Torres,2009,hot-latin
6446,78,Para Siempre,Vicente Fernandez,2009,hot-latin
6447,79,Mi Primera Vez,Conjunto Primavera,2009,hot-latin
6448,80,El Sonidito,Hechizeros Band,2009,hot-latin
6449,81,Llamado De Emergencia,Daddy Yankee,2009,hot-latin
6450,82,Dime,Ivy Queen,2009,hot-latin
6451,83,El Borracho,Grupo Montez de Durango,2009,hot-latin
6452,84,Nada Que Me Recuerde A Ti,Marco Antonio Solis,2009,hot-latin
6453,85,Y Ahora Que?,Los Rieleros del Norte,2009,hot-latin
6454,86,El Corrido Del Pepo,La Nueva Rebelion,2009,hot-latin
6455,87,Mi Complemento,Los Huracanes del Norte,2009,hot-latin
6456,89,Celos,Fanny Lu,2009,hot-latin
6457,90,El Bazucazo,El Tigrillo Palma,2009,hot-latin
6458,91,Tu Defecto,Los Creadorez del Pasito Duranguense de Alfredo Ramirez,2009,hot-latin
6459,92,Dejame Entrar,Makano,2009,hot-latin
6460,94,Feliz,Kany Garcia,2009,hot-latin
6461,95,Tu Camisa Puesta,Jenni Rivera,2009,hot-latin
6462,96,Mala,Yolandita Monge,2009,hot-latin
6463,97,Llevame En Tu Viaje,Intocable,2009,hot-latin
6464,98,Culpable O Inocente,Jenni Rivera,2009,hot-latin
6465,99,El Baleado,Larry Hernandez,2009,hot-latin
6466,100,Inmortal,La Oreja de Van Gogh,2009,hot-latin
6467,1,Cuando Me Enamoro,Enrique Iglesias Featuring Juan Luis Guerra,2010,hot-latin
6468,2,Al Menos,La Original Banda el Limon de Salvador Lizarraga,2010,hot-latin
6469,3,Dile Al Amor,Aventura,2010,hot-latin
6470,4,Dime Que Me Quieres,Banda El Recodo de Cruz Lizarraga,2010,hot-latin
6471,5,Nina Bonita,Chino & Nacho,2010,hot-latin
6472,6,Ando Bien Pedo,Banda Los Recoditos,2010,hot-latin
6473,7,Me Gusta Todo De Ti,Banda El Recodo de Cruz Lizarraga,2010,hot-latin
6474,8,Te Recordare,El Trono de Mexico,2010,hot-latin
6475,10,La Peinada,Chuy Lizarraga y Su Banda Tierra Sinaloense,2010,hot-latin
6476,11,El Malo,Aventura,2010,hot-latin
6477,12,El Enamorado,Los Titanes de Durango,2010,hot-latin
6478,13,Nina De Mi Corazon,La Arrolladora Banda el Limon de Rene Camacho,2010,hot-latin
6479,14,No Puedo Volver,Intocable,2010,hot-latin
6480,15,Mientes,Camila,2010,hot-latin
6481,16,Stand By Me,Prince Royce,2010,hot-latin
6482,18,Amarte A La Antigua,Pedro Fernandez,2010,hot-latin
6483,19,Sin Evidencias,Banda MS,2010,hot-latin
6484,20,La Calabaza,La Arrolladora Banda el Limon de Rene Camacho,2010,hot-latin
6485,21,Colgando En Tus Manos,Carlos Baute Con Marta Sanchez,2010,hot-latin
6486,22,Carita De Angel,Larry Hernandez,2010,hot-latin
6487,23,Alejate De Mi,Camila,2010,hot-latin
6488,24,Comandos del M.P. (500 Balazos),Voz de Mando,2010,hot-latin
6489,25,Yerbatero,Juanes,2010,hot-latin
6490,26,Al Diablo Lo Nuestro,Espinoza Paz,2010,hot-latin
6491,27,Se Me Va La Voz,Alejandro Fernandez,2010,hot-latin
6492,28,La Despedida,Daddy Yankee,2010,hot-latin
6493,29,Waka Waka (This Time For Africa),Shakira Featuring Freshlyground,2010,hot-latin
6494,30,I Like It,Enrique Iglesias Featuring Pitbull,2010,hot-latin
6495,31,Estuve,Alejandro Fernandez,2010,hot-latin
6496,32,Did It Again (Lo Hecho Esta Hecho),Shakira,2010,hot-latin
6497,33,Hay Ojitos,Intocable,2010,hot-latin
6498,34,Gitana,Shakira,2010,hot-latin
6499,35,Millonario De Amor,Sergio Vega,2010,hot-latin
6500,36,Me Enamore De Ti ...,Chayanne,2010,hot-latin
6501,37,La Vida Es Asi,Ivy Queen,2010,hot-latin
6502,38,Corazon Sin Cara,Prince Royce,2010,hot-latin
6503,39,Y Como Es El,Marc Anthony,2010,hot-latin
6504,40,Danza Kuduro,Don Omar & Lucenzo,2010,hot-latin
6505,41,Arrastrando Las Patas,Larry Hernandez,2010,hot-latin
6506,42,El Doctorado,Tony Dize,2010,hot-latin
6507,43,Hasta Abajo,Don Omar,2010,hot-latin
6508,44,Te Ves Fatal,El Trono de Mexico,2010,hot-latin
6509,45,Mas Adelante,La Arrolladora Banda el Limon de Rene Camacho,2010,hot-latin
6510,46,Guapa,Diego Torres,2010,hot-latin
6511,47,Descontrol,Daddy Yankee,2010,hot-latin
6512,48,Por Que Me Haces Llorar?,Juan Gabriel,2010,hot-latin
6513,49,Looking For Paradise,Alejandro Sanz Featuring Alicia Keys,2010,hot-latin
6514,50,Ya Lo Se,Jenni Rivera,2010,hot-latin
6515,51,Esa Muchachita,Los Reyes de Arranque,2010,hot-latin
6516,52,Te Ira Mejor Sin Mi,Joan Sebastian,2010,hot-latin
6517,53,Loca,Shakira Featuring El Cata,2010,hot-latin
6518,54,Equivocada,Thalia,2010,hot-latin
6519,55,OMG,Usher Featuring will.i.am,2010,hot-latin
6520,56,Quiere Pa' Que Te Quieran,Dyland & Lenny,2010,hot-latin
6521,57,Y Tu,Julion Alvarez y Su Norteno Banda,2010,hot-latin
6522,58,Mi Curiosidad,Los Tigres del Norte,2010,hot-latin
6523,59,Loco,Jowell & Randy,2010,hot-latin
6524,60,Soy Todo Tuyo,Los Tucanes de Tijuana,2010,hot-latin
6525,61,Ni El Diablo Te Va A Querer,Los Rieleros del Norte,2010,hot-latin
6526,62,Te Siento,Wisin & Yandel,2010,hot-latin
6527,63,Ni Con Otro Corazon,Pedro Fernandez,2010,hot-latin
6528,64,Bad Romance,Lady Gaga,2010,hot-latin
6529,65,Mi Necesidad,Grupo Montez de Durango,2010,hot-latin
6530,66,Ponte En Mi Lugar,Espinoza Paz,2010,hot-latin
6531,67,En Preparacion,Gerardo Ortiz,2010,hot-latin
6532,68,Soy Como No Soy,Duelo,2010,hot-latin
6533,69,Dime Una Y Otra Vez,El Chapo de Sinaloa,2010,hot-latin
6534,70,Sexy Chick,David Guetta Featuring Akon,2010,hot-latin
6535,71,Derecho De Antiguedad,La Original Banda el Limon de Salvador Lizarraga,2010,hot-latin
6536,72,"Cuando, Cuando Es?",J-King & Maximan,2010,hot-latin
6537,73,Desde Cuando,Alejandro Sanz,2010,hot-latin
6538,74,Te Amo,Cumbre Nortena,2010,hot-latin
6539,75,"Cielo Azul, Cielo Nublado aka Cielo Nevado",Pesado,2010,hot-latin
6540,1,Corazon Sin Cara,Prince Royce,2011,hot-latin
6541,2,Taboo,Don Omar,2011,hot-latin
6542,3,Me Encantaria,Fidel Rueda,2011,hot-latin
6543,4,Danza Kuduro,Don Omar & Lucenzo,2011,hot-latin
6544,5,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",2011,hot-latin
6545,6,Te Amo Y Te Amo,La Adictiva Banda San Jose de Mesillas,2011,hot-latin
6546,7,Ni Lo Intentes,Julion Alvarez y Su Norteno Banda,2011,hot-latin
6547,8,You,Romeo Santos,2011,hot-latin
6548,9,Cuanto Me Cuesta,La Arrolladora Banda el Limon de Rene Camacho,2011,hot-latin
6549,10,Ven A Bailar,Jennifer Lopez Featuring Pitbull,2011,hot-latin
6550,11,Loca,Shakira Featuring El Cata,2011,hot-latin
6551,12,"Bon, Bon",Pitbull,2011,hot-latin
6552,13,Gracias A Dios,Violento,2011,hot-latin
6553,14,Di Que Regresaras,La Original Banda el Limon de Salvador Lizarraga,2011,hot-latin
6554,15,Estoy Enamorado,Wisin & Yandel,2011,hot-latin
6555,16,Lluvia Al Corazon,Mana,2011,hot-latin
6556,17,Olvidame,Julion Alvarez y Su Norteno Banda,2011,hot-latin
6557,18,El Culpable,Espinoza Paz,2011,hot-latin
6558,20,El Ardido,Larry Hernandez,2011,hot-latin
6559,21,El Padrino,Joan Sebastian,2011,hot-latin
6560,22,Arrastrando Las Patas,Larry Hernandez,2011,hot-latin
6561,23,Robarte Un Beso,Intocable,2011,hot-latin
6562,24,Lo Mejor De Mi Vida Eres Tu,Ricky Martin Featuring Natalia Jimenez,2011,hot-latin
6563,25,No Me Digas Que No,Enrique Iglesias Featuring Wisin & Yandel,2011,hot-latin
6564,26,Prometi,Intocable,2011,hot-latin
6565,27,Rabiosa,Shakira Featuring Pitbull Or El Cata,2011,hot-latin
6566,28,Nina De Mi Corazon,La Arrolladora Banda el Limon de Rene Camacho,2011,hot-latin
6567,29,Ven Conmigo,Daddy Yankee Featuring Prince Royce,2011,hot-latin
6568,30,Amor Clandestino,Mana,2011,hot-latin
6569,31,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,2011,hot-latin
6570,32,No Me Dejes Con Las Ganas,Los Horoscopos de Durango,2011,hot-latin
6571,33,Donde Estas Presumida,Chuy Lizarraga y Su Banda Tierra Sinaloense,2011,hot-latin
6572,34,La Despedida,Daddy Yankee,2011,hot-latin
6573,35,Me Duele,Roberto Tapia,2011,hot-latin
6574,36,Tonight (I'm Lovin' You),Enrique Iglesias Featuring Ludacris & DJ Frank E,2011,hot-latin
6575,37,Rain Over Me,Pitbull Featuring Marc Anthony,2011,hot-latin
6576,38,Besame,Camila,2011,hot-latin
6577,39,El Tierno Se Fue,Calibre 50,2011,hot-latin
6578,40,Cuando Me Enamoro,Enrique Iglesias Featuring Juan Luis Guerra,2011,hot-latin
6579,41,Tu Olor,Wisin & Yandel,2011,hot-latin
6580,43,Contestame El Telefono,Alexis & Fido Featuring Flex,2011,hot-latin
6581,44,Mr. Saxobeat,Alexandra Stan,2011,hot-latin
6582,45,Ensename A Olvidar,Dareyes de La Sierra,2011,hot-latin
6583,46,No Me Digas,El Chapo de Sinaloa,2011,hot-latin
6584,47,La Ciudad Del Olvido,El Trono de Mexico,2011,hot-latin
6585,48,Only Girl (In The World),Rihanna,2011,hot-latin
6586,49,Dia De Suerte,Alejandra Guzman,2011,hot-latin
6587,50,Gritar,Luis Fonsi,2011,hot-latin
6588,51,Tu Angelito,Chino & Nacho,2011,hot-latin
6589,52,La Ultima Sombra,Gerardo Ortiz,2011,hot-latin
6590,53,Stereo Love,Edward Maya & Vika Jigulina,2011,hot-latin
6591,54,Sale El Sol,Shakira,2011,hot-latin
6592,55,El Amor Que Perdimos,Prince Royce,2011,hot-latin
6593,56,Tan Solo Tu,Franco De Vita Featuring Alejandra Guzman,2011,hot-latin
6594,57,La Melodia,Joey Montana,2011,hot-latin
6595,58,Mi Corazon Esta Muerto,RKM & Ken-Y,2011,hot-latin
6596,59,Mi Ultima Carta,Prince Royce,2011,hot-latin
6597,60,Millonario De Amor,Sergio Vega,2011,hot-latin
6598,61,Promise,Romeo Santos Featuring Usher,2011,hot-latin
6599,62,Dandole,Gocho Featuring Jowell y Omega,2011,hot-latin
6600,63,Mente En Blanco,Voz de Mando,2011,hot-latin
6601,64,Peligro,Reik,2011,hot-latin
6602,65,El Jefe De La Sierra,Los Tucanes de Tijuana,2011,hot-latin
6603,66,Habitacion 69,Banda Los Recoditos,2011,hot-latin
6604,67,Quien Te Quiere Como Yo,Carlos Baute,2011,hot-latin
6605,68,El Mil Amores,Pesado,2011,hot-latin
6606,69,Tengo Tu Love,Sie7e,2011,hot-latin
6607,70,Y No Regresas,Juanes,2011,hot-latin
6608,71,El Trokero Lokochon,Gerardo Ortiz,2011,hot-latin
6609,72,La Hummer Y El Camaro,Voz de Mando Artistas Invitados Escolta de Guerra y Jorge Santacruz,2011,hot-latin
6610,73,El Amor,Ricardo Arjona,2011,hot-latin
6611,74,Mi Necesidad,Grupo Montez de Durango,2011,hot-latin
6612,75,The Time (Dirty Bit),The Black Eyed Peas,2011,hot-latin
6613,1,Llamada de Mi Ex,La Arrolladora Banda el Limon de Rene Camacho,2012,hot-latin
6614,2,Dutty Love,Don Omar Featuring Natti Natasha,2012,hot-latin
6615,3,Intentalo,3BallMTY Featuring El Bebeto y America Sierra,2012,hot-latin
6616,4,Bailando Por El Mundo,Juan Magan Featuring Pitbull & El Cata,2012,hot-latin
6617,5,Ai Se Eu Te Pego,Michel Telo,2012,hot-latin
6618,6,Amor Confuso,Gerardo Ortiz,2012,hot-latin
6619,7,Lovumba (Prestige),Daddy Yankee,2012,hot-latin
6620,8,Un Hombre Normal,Espinoza Paz,2012,hot-latin
6621,9,El Verdadero Amor Perdona,Mana Featuring Prince Royce,2012,hot-latin
6622,10,Las Cosas Pequenas,Prince Royce,2012,hot-latin
6623,11,Hasta Que Salga El Sol,Don Omar,2012,hot-latin
6624,12,Sin Respiracion,Banda El Recodo de Cruz Lizarraga,2012,hot-latin
6625,13,Mirando Al Cielo,Roberto Tapia,2012,hot-latin
6626,14,Promise,Romeo Santos Featuring Usher,2012,hot-latin
6627,15,Incondicional,Prince Royce,2012,hot-latin
6628,16,Si Te Digo La Verdad,"Gocho ""El Lapiz de Platino""",2012,hot-latin
6629,17,Follow The Leader,Wisin & Yandel + Jennifer Lopez,2012,hot-latin
6630,18,Te Quiero A Morir,Banda El Recodo de Cruz Lizarraga,2012,hot-latin
6631,19,El Mejor Perfume,La Original Banda el Limon de Salvador Lizarraga,2012,hot-latin
6632,20,Mi Santa,Romeo Santos Featuring Tomatito,2012,hot-latin
6633,21,La Mosca,Los Horoscopos de Durango Featuring Chuy Lizarraga y Su Banda Tierra Sinaloense,2012,hot-latin
6634,22,La Diabla,Romeo Santos,2012,hot-latin
6635,23,Pasarela,Daddy Yankee,2012,hot-latin
6636,24,We Found Love,Rihanna Featuring Calvin Harris,2012,hot-latin
6637,25,El Pasado Es Pasado,La Adictiva Banda San Jose de Mesillas,2012,hot-latin
6638,26,Corre!,Jesse & Joy Featuring La Republika,2012,hot-latin
6639,27,Fuiste Tu,Ricardo Arjona Featuring Gaby Moreno,2012,hot-latin
6640,28,Addicted To You,Shakira,2012,hot-latin
6641,29,International Love,Pitbull Featuring Chris Brown,2012,hot-latin
6642,30,Marchate,Julion Alvarez y Su Norteno Banda,2012,hot-latin
6643,31,Algo Me Gusta De Ti,Wisin & Yandel Featuring Chris Brown & T-Pain,2012,hot-latin
6644,32,Cabecita Dura,La Arrolladora Banda el Limon de Rene Camacho,2012,hot-latin
6645,33,Mujer De Todos Mujer De Nadie,Calibre 50,2012,hot-latin
6646,34,Tu Ya Eres Cosa Del Pasado,Fidel Rueda,2012,hot-latin
6647,35,400 Mil Veinte Anos,Tierra Cali,2012,hot-latin
6648,36,Gente Batallosa,Calibre 50 Featuring Banda Carnaval,2012,hot-latin
6649,37,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",2012,hot-latin
6650,38,Dance Again,Jennifer Lopez Featuring Pitbull,2012,hot-latin
6651,39,Sexy And I Know It,LMFAO,2012,hot-latin
6652,40,Nada Iguales,La Adictiva Banda San Jose de Mesillas,2012,hot-latin
6653,41,Lo Que Pienso De Ti,Banda Carnaval,2012,hot-latin
6654,42,Si Tu Me Besas,Victor Manuelle,2012,hot-latin
6655,43,Where Have You Been,Rihanna,2012,hot-latin
6656,44,Me Gustas Tanto,Paulina Rubio,2012,hot-latin
6657,45,Bebe Bonita,Chino & Nacho Featuring Jay Sean,2012,hot-latin
6658,46,No Me Compares,Alejandro Sanz,2012,hot-latin
6659,47,Will U Still Love Me Tomorrow,Leslie Grace,2012,hot-latin
6660,48,Balada (Tche Tcherere Tche Tche),"Gusttavo Lima Feat. Alex Sensation, Pitbull, Sensato & David Zonarosa Or Dyland & Lenn",2012,hot-latin
6661,49,Mi Olvido,Banda Sinaloense MS de Sergio Lizarraga,2012,hot-latin
6662,50,Yo No Soy Un Monstruo,Elvis Crespo Featuring Ilegales,2012,hot-latin
6663,51,El Vestido Blanco,Vicente Fernandez,2012,hot-latin
6664,52,Versos de Mi Alma,Voz de Mando,2012,hot-latin
6665,53,El Poeta,Chino & Nacho,2012,hot-latin
6666,54,Estilo Italiano,Jesus Ojeda y Sus Parientes,2012,hot-latin
6667,55,Te Mirabas Mas Bonita,Chuy Lizarraga y Su Banda Tierra Sinaloense,2012,hot-latin
6668,56,Solo Vine A Despedirme,Gerardo Ortiz,2012,hot-latin
6669,57,El Buen Ejemplo,Calibre 50,2012,hot-latin
6670,58,Olvidame,Julion Alvarez y Su Norteno Banda,2012,hot-latin
6671,59,Ayer,Enrique Iglesias,2012,hot-latin
6672,60,Echa Pa'lla (Manos Pa'rriba),Pitbull,2012,hot-latin
6673,62,Sentimientos Encontrados,El Trono de Mexico,2012,hot-latin
6674,63,Descuide,Grupo Montez de Durango,2012,hot-latin
6675,64,El Mil Amores,Pesado,2012,hot-latin
6676,65,Me Enamora,Juanes,2012,hot-latin
6677,66,Llueve,Intocable,2012,hot-latin
6678,67,Diosa De Los Corazones,Arcangel /Zion & Lennox/Lobo/RKM & Ken-Y,2012,hot-latin
6679,68,Good Feeling,Flo Rida,2012,hot-latin
6680,69,Di Que Regresaras,La Original Banda el Limon de Salvador Lizarraga,2012,hot-latin
6681,70,Te Quiero,Ricardo Arjona,2012,hot-latin
6682,71,Amor Compartido,Los Tucanes de Tijuana,2012,hot-latin
6683,72,Ya Me Canse,Larry Hernandez,2012,hot-latin
6684,73,Eres Mi Sueno,Fonseca,2012,hot-latin
6685,74,La Senal,Juanes,2012,hot-latin
6686,75,No Fue Facil,Roberto Tapia,2012,hot-latin
6687,1,Vivir Mi Vida,Marc Anthony,2013,hot-latin
6688,2,Limbo,Daddy Yankee,2013,hot-latin
6689,3,Darte Un Beso,Prince Royce,2013,hot-latin
6690,4,Zumba,Don Omar,2013,hot-latin
6691,5,Propuesta Indecente,Romeo Santos,2013,hot-latin
6692,6,Algo Me Gusta De Ti,Wisin & Yandel Featuring Chris Brown & T-Pain,2013,hot-latin
6693,7,Llevame Contigo,Romeo Santos,2013,hot-latin
6694,8,La Pregunta,J Alvarez,2013,hot-latin
6695,9,Loco,Enrique Iglesias Featuring Romeo Santos,2013,hot-latin
6696,10,El Ruido De Tus Zapatos,La Arrolladora Banda el Limon de Rene Camacho,2013,hot-latin
6697,11,Y Ahora Resulta,Voz de Mando,2013,hot-latin
6698,12,Por Que Les Mientes?,Tito El Bambino + El Patron Featuring Marc Anthony,2013,hot-latin
6699,13,Echa Pa'lla (Manos Pa'rriba),Pitbull,2013,hot-latin
6700,14,Incondicional,Prince Royce,2013,hot-latin
6701,15,Y Te Vas,Banda Carnaval,2013,hot-latin
6702,16,Te Me Vas,Prince Royce,2013,hot-latin
6703,17,Damaso,Gerardo Ortiz,2013,hot-latin
6704,18,Adivina,Noel Torres,2013,hot-latin
6705,19,Te Perdiste Mi Amor,Thalia Featuring Prince Royce,2013,hot-latin
6706,20,Como Le Gusta A Tu Cuerpo,Carlos Vives Featuring Michel Telo,2013,hot-latin
6707,21,Te Amo (Para Siempre),Intocable,2013,hot-latin
6708,22,La Mejor de Todas,Banda El Recodo de Cruz Lizarraga,2013,hot-latin
6709,23,Mi Nina Traviesa,Luis Coronel,2013,hot-latin
6710,24,Mi Razon de Ser,Banda Sinaloense MS de Sergio Lizarraga,2013,hot-latin
6711,25,Hoy Tengo Ganas De Ti,Alejandro Fernandez / Christina Aguilera,2013,hot-latin
6712,26,El Coco No,Roberto Junior y Su Bandeno,2013,hot-latin
6713,27,Volvi A Nacer,Carlos Vives,2013,hot-latin
6714,28,Hable de Ti,Yandel,2013,hot-latin
6715,29,Cabecita Dura,La Arrolladora Banda el Limon de Rene Camacho,2013,hot-latin
6716,30,More,"Zion, Jory y Ken-Y",2013,hot-latin
6717,31,Me Gustas Mucho,Codigo FN,2013,hot-latin
6718,32,Pegaito Suavecito,Elvis Crespo Featuring Fito Blanko,2013,hot-latin
6719,33,Solo Vine A Despedirme,Gerardo Ortiz,2013,hot-latin
6720,34,Ni Que Estuvieras Tan Buena,Calibre 50,2013,hot-latin
6721,35,Mi Ultimo Deseo,Banda Los Recoditos,2013,hot-latin
6722,36,Mi Promesa,Pesado,2013,hot-latin
6723,37,Rompe La Cintura,Alexis & Fido,2013,hot-latin
6724,38,La Fory Fay,Julion Alvarez y Su Norteno Banda,2013,hot-latin
